epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2237,0,116.792,0,0,0,0,0,0,125.227,0,6e-05,6e-05,6e-05
2,80.2176,0,113.82,0,0,0,0,0,0,125.478,0,0.000137228,0.000137228,0.000137228
3,118.089,0,110.364,0,0,0,0,0,0,126.271,0,0.000211288,0.000211288,0.000211288
4,162.261,0,103.945,0,0,0,0,0,0,129.313,0,0.00028218,0.00028218,0.00028218
5,201.98,0,95.3631,0,0,0,0,0,0,136.685,0,0.000349904,0.000349904,0.000349904
6,237.34,0,89.6076,0,0,0,0,0,0,146.443,0,0.00041446,0.00041446,0.00041446
7,269.68,0,86.1886,0,0,0,0,0,0,163.567,0,0.000475848,0.000475848,0.000475848
8,305.596,0,81.8584,0,0,0,0,0,0,169.307,0,0.000534068,0.000534068,0.000534068
9,346.739,0,81.1961,0,0,0,0,0,0,238.336,0,0.00058912,0.00058912,0.00058912
10,382.739,0,75.9323,0,0,0,0,0,0,108.884,0,0.000641004,0.000641004,0.000641004
11,418.379,0,76.0802,0,0,0,0,0,0,372.405,0,0.00068972,0.00068972,0.00068972
12,454.63,0,72.2429,0,0,0,0,0,0,1791.63,0,0.000735268,0.000735268,0.000735268
13,492.153,0,70.4544,0,0,0,0,0,0,523.867,0,0.000777648,0.000777648,0.000777648
14,526.955,0,70.0196,0,0,0,0,0,0,89.8208,0,0.00081686,0.00081686,0.00081686
15,560.351,0,69.1764,0,0,0,0,0,0,148.95,0,0.000852904,0.000852904,0.000852904
16,595.216,0,67.0755,0,0,0,0,0,0,67.9836,0,0.00088578,0.00088578,0.00088578
17,631.789,0,65.7344,0,0,0,0,0,0,67.3843,0,0.000915488,0.000915488,0.000915488
18,669.49,0,64.3197,0,0,0,0,0,0,66.0208,0,0.000942028,0.000942028,0.000942028
19,700.406,0,63.0861,0,0,0,0,0,0,65.4128,0,0.0009654,0.0009654,0.0009654
20,730.776,0,64.3136,0,0,0,0,0,0,64.8111,0,0.000985604,0.000985604,0.000985604
21,760.64,0,64.5466,0,0,0,0,0,0,57.4543,0,0.00100264,0.00100264,0.00100264
22,790.488,0,61.8073,0,0,0,0,0,0,56.7465,0,0.00101651,0.00101651,0.00101651
23,821.179,0,60.1162,0,0,0,0,0,0,55.892,0,0.00102721,0.00102721,0.00102721
24,852.571,0,59.0207,0,0,0,0,0,0,56.4435,0,0.00103474,0.00103474,0.00103474
25,883.728,0,57.7878,0,0,0,0,0,0,56.9226,0,0.0010391,0.0010391,0.0010391
26,914.844,0,56.4274,0,0,0,0,0,0,56.1979,0,0.00101,0.00101,0.00101
27,945.315,0,55.7877,0,0,0,0,0,0,55.2516,0,0.0009704,0.0009704,0.0009704
28,976.95,0,55.0498,0,0,0,0,0,0,55.1692,0,0.0009308,0.0009308,0.0009308
29,1007.31,0,54.2024,0,0,0,0,0,0,55.4313,0,0.0008912,0.0008912,0.0008912
30,1040.08,0,53.7128,0,0,0,0,0,0,56.3368,0,0.0008516,0.0008516,0.0008516
31,1070.62,0,52.5354,0,0,0,0,0,0,57.362,0,0.000812,0.000812,0.000812
32,1102.94,0,52.0034,0,0,0,0,0,0,58.2722,0,0.0007724,0.0007724,0.0007724
33,1134.2,0,51.2013,0,0,0,0,0,0,58.9528,0,0.0007328,0.0007328,0.0007328
34,1165.03,0,50.3627,0,0,0,0,0,0,58.7166,0,0.0006932,0.0006932,0.0006932
35,1197.57,0,49.5273,0,0,0,0,0,0,57.6605,0,0.0006536,0.0006536,0.0006536
36,1228,0,49.072,0,0,0,0,0,0,56.2275,0,0.000614,0.000614,0.000614
37,1263.32,0,48.6258,0,0,0,0,0,0,55.1238,0,0.0005744,0.0005744,0.0005744
38,1295.81,0,47.9509,0,0,0,0,0,0,54.3268,0,0.0005348,0.0005348,0.0005348
39,1325.7,0,48.0787,0,0,0,0,0,0,53.5875,0,0.0004952,0.0004952,0.0004952
40,1356.37,0,46.9628,0,0,0,0,0,0,53.1246,0,0.0004556,0.0004556,0.0004556
41,1388.45,0,46.6026,0,0,0,0,0,0,52.8274,0,0.000416,0.000416,0.000416
42,1421.84,0,46.5421,0,0,0,0,0,0,52.6728,0,0.0003764,0.0003764,0.0003764
43,1455.01,0,45.951,0,0,0,0,0,0,52.1952,0,0.0003368,0.0003368,0.0003368
44,1488.88,0,45.7329,0,0,0,0,0,0,51.8219,0,0.0002972,0.0002972,0.0002972
45,1523.92,0,45.4633,0,0,0,0,0,0,51.5206,0,0.0002576,0.0002576,0.0002576
46,1554.22,0,45.1117,0,0,0,0,0,0,51.1935,0,0.000218,0.000218,0.000218
47,1586.75,0,45.0085,0,0,0,0,0,0,50.8086,0,0.0001784,0.0001784,0.0001784
48,1618.07,0,44.6811,0,0,0,0,0,0,50.4442,0,0.0001388,0.0001388,0.0001388
49,1649.53,0,44.7032,0,0,0,0,0,0,50.1926,0,9.92e-05,9.92e-05,9.92e-05
50,1681.94,0,44.5472,0,0,0,0,0,0,49.9415,0,5.96e-05,5.96e-05,5.96e-05
